20230603	14:48:00	c69c7ebb-c9e8-4958-aab8-231e754a0116	POST 	 undefined	 /auth
20230603	14:48:15	a5cc409f-4d74-4ae3-8c0a-0084e9bdbe14	GET 	 undefined	 /refresh
20230603	14:59:50	468dd573-2e14-4787-9520-8c531ef3f815	POST 	 undefined	 /auth
20230603	14:59:55	619d85da-26a0-4522-a0dd-097f7f7e55ab	GET 	 undefined	 /refresh
20230603	15:00:52	c0a1da25-9924-4e67-b3a2-67a98d4b9b69	POST 	 undefined	 /auth
20230603	15:01:03	e485105b-4f34-4d3b-9d56-e50678387c63	GET 	 undefined	 /logout
20230603	15:30:03	4abad493-f781-4680-bd8e-ac98c99aa2f1	POST 	 undefined	 /auth
20230603	15:30:10	1bbccb2f-a441-417b-8c8d-2281719f2097	GET 	 undefined	 /logout
20230603	16:13:45	4a28128d-eda4-4862-b894-59e2bcec05ef	POST 	 undefined	 /auth
20230603	16:13:56	519907d4-5381-4b1a-89e5-b64203eb7e75	GET 	 undefined	 /employees
20230603	16:14:04	9062b63f-9b29-4e5b-8984-e87d07dc84f3	GET 	 undefined	 /employees
20230603	16:19:20	1d84dc8a-cd10-44fd-a5d1-b818435ab668	POST 	 undefined	 /auth
20230603	16:19:32	5f03ab19-cb40-4ec6-ad99-e3afa324b000	GET 	 undefined	 /employees
20230603	16:25:11	fa19f4b5-dc05-4bb8-849e-cfd1106e7cf2	POST 	 undefined	 /auth
20230603	16:25:22	d48c4e6a-7a93-41fa-b0f0-df0f6720a287	GET 	 undefined	 /employees
20230603	16:30:28	350de320-267a-4ab3-8edb-42e924b014bd	POST 	 undefined	 /auth
20230603	16:30:58	e0987455-d81b-4e89-9762-9e594ca23eba	GET 	 undefined	 /employees
20230603	16:31:02	90961251-ee6f-4a63-803c-17762b58e3d2	POST 	 undefined	 /auth
20230603	16:31:16	3c9566da-d3a8-490e-9942-45a93c30e33a	GET 	 undefined	 /logout
20230603	16:32:08	10e602d0-efd4-4981-a52c-ee106804af68	POST 	 undefined	 /auth
20230603	16:32:18	99a34b2c-7ebb-480f-a859-479470ea6ef2	GET 	 undefined	 /employees
20230603	16:38:01	d0244aa1-c37d-4bb0-8b5a-655e21eaeee0	POST 	 undefined	 /employees
20230603	16:38:17	b35b393f-3439-4f9b-9cc7-733bacfbd48f	POST 	 undefined	 /auth
20230603	16:38:33	a9fa5626-c6f9-49e4-a6cf-c42684f96abe	POST 	 undefined	 /employees
20230603	16:38:40	3cf9318c-5252-4999-9148-99765a4cc280	GET 	 undefined	 /employees
20230603	16:40:06	29314735-c693-4ecd-8054-714df3102ff0	POST 	 undefined	 /auth
20230603	16:40:33	a27b9ca0-842f-4188-ba1e-1dce99426b65	GET 	 undefined	 /employees/647b5e79022c7d592a043bce
20230603	16:40:46	f6f8c35f-2353-4c31-ba05-e6b6ad394acc	POST 	 undefined	 /auth
